,absolute_bp,relative_bp,freq_act,sub,ses,channel
0,7.482034408599507,0.24503704465372225,delta,001,01,Cz
1,1.6263938325353184,0.13853044425691327,tetha,001,01,Cz
2,0.9992103344145304,0.10433178023920621,alpha,001,01,Cz
3,1.8679093408518268,0.22969029455784762,beta,001,01,Cz
4,1.9667241133842688,0.3149616713177472,gama,001,01,Cz
5,177.69865951731822,0.32239639346862964,delta,001,01,Fz
6,41.121808096925484,0.22919899798865606,tetha,001,01,Fz
7,14.38568526475445,0.11723402087312154,alpha,001,01,Fz
8,9.974165058547538,0.12256937723409504,beta,001,01,Fz
9,8.61337479866368,0.2274403273525335,gama,001,01,Fz
10,10.916537016254079,0.19168567682722523,delta,001,01,Pz
11,1.5267028401047462,0.12381166476275882,tetha,001,01,Pz
12,1.0979732252198346,0.11490874307061327,alpha,001,01,Pz
13,2.1161276416326196,0.2597438138180125,beta,001,01,Pz
14,1.7011051639780121,0.2727630373439471,gama,001,01,Pz
15,170.30328508544113,0.09581599694332205,delta,001,01,Oz
16,12.493662212754067,0.11018535254440305,tetha,001,01,Oz
17,8.289301206073203,0.10447165966955926,alpha,001,01,Oz
18,13.657269962833753,0.20766659451115835,beta,001,01,Oz
19,16.44970330801703,0.3375908591887844,gama,001,01,Oz
20,11713780.834504055,0.29999158656727026,delta,001,01,X
21,2303334.8291708203,0.14643403377734976,tetha,001,01,X
22,1339846.3906078439,0.10615046126018701,alpha,001,01,X
23,2477490.7954752343,0.22832685380520806,beta,001,01,X
24,3555598.10461325,0.42620638379159254,gama,001,01,X
25,135288.40488534258,0.07198357090569078,delta,001,01,Y
26,152342.85456716537,0.08273348464230736,tetha,001,01,Y
27,150937.5826381033,0.08369902004511538,alpha,001,01,Y
28,442158.08954386564,0.25156621857509576,beta,001,01,Y
29,748886.639629852,0.47260476960365294,gama,001,01,Y
30,1.0136154877591528,0.05940444833194747,delta,001,01,Z
31,0.9093858631277484,0.0550678100039996,tetha,001,01,Z
32,0.8618039531494963,0.053236163143173254,alpha,001,01,Z
33,2.515649405314869,0.15832148270557955,beta,001,01,Z
34,6.330708880717553,0.42722858668196284,gama,001,01,Z
35,22.69424361466114,0.16243309359229519,delta,003,01,Cz
36,8.198213970201635,0.24609662873975166,tetha,003,01,Cz
37,4.4782884080321494,0.15807713913241098,alpha,003,01,Cz
38,5.3504922234696215,0.22160479131112096,beta,003,01,Cz
39,4.6802559167220394,0.3218137501849778,gama,003,01,Cz
40,136.4945483800606,0.41127399882795235,delta,003,01,Fz
41,40.41937148282871,0.2655569175106129,tetha,003,01,Fz
42,17.427941704198854,0.15535110440998423,alpha,003,01,Fz
43,14.688139065025837,0.1761848969305088,beta,003,01,Fz
44,8.781006417507662,0.22648734812706306,gama,003,01,Fz
45,14.11659115735918,0.35306815727120316,delta,003,01,Pz
46,7.517566517299511,0.36791783295294844,tetha,003,01,Pz
47,3.7254986697624473,0.21162884371289226,alpha,003,01,Pz
48,3.0489346910243547,0.1941438403043143,beta,003,01,Pz
49,1.2490747764590457,0.1711339302013028,gama,003,01,Pz
50,68.16607476088801,0.25673741301857445,delta,003,01,Oz
51,49.21167068102365,0.3223813624344731,tetha,003,01,Oz
52,26.028283578653994,0.19073005024243178,alpha,003,01,Oz
53,18.747128580957423,0.15354993036642178,beta,003,01,Oz
54,18.1978206556413,0.28155553326507204,gama,003,01,Oz
55,86609767.89562687,0.19445344775479753,delta,003,01,X
56,44548869.34551817,0.4195397668752919,tetha,003,01,X
57,17753981.427433606,0.1913979869838547,alpha,003,01,X
58,11237832.942801546,0.15161597434650081,beta,003,01,X
59,5415932.037889866,0.18846939111943797,gama,003,01,X
60,57193701.268935606,0.21718376016854227,delta,003,01,Y
61,76631540.14090222,0.4039396236027803,tetha,003,01,Y
62,33339432.267911904,0.18361436759869623,alpha,003,01,Y
63,28612150.290735155,0.19965156187911579,beta,003,01,Y
64,11583918.263904747,0.17745812187407745,gama,003,01,Y
65,122790341.96186352,0.21205865188820372,delta,003,01,Z
66,65318030.582316995,0.39677626380711367,tetha,003,01,Z
67,26042510.85649061,0.18234888308698513,alpha,003,01,Z
68,15237873.431284491,0.14173405287866214,beta,003,01,Z
69,6649920.285252328,0.16780269579665405,gama,003,01,Z
70,11.598455957229852,0.21438280548048086,delta,003,02,Cz
71,7.757655372177112,0.3168787614783297,tetha,003,02,Cz
72,4.200623490423028,0.19310792744448618,alpha,003,02,Cz
73,4.093037279683997,0.21013143271413645,beta,003,02,Cz
74,2.542612130815454,0.24078220540511416,gama,003,02,Cz
75,116.99673554157765,0.3018759091658623,delta,003,02,Fz
76,41.50607963956286,0.2614383702939892,tetha,003,02,Fz
77,20.139377768059074,0.15886870932196512,alpha,003,02,Fz
78,19.782743741278537,0.18926042642291593,beta,003,02,Fz
79,17.00947031601898,0.2935812837224423,gama,003,02,Fz
80,7.805364052264002,0.2166808835680489,delta,003,02,Pz
81,10.01133343858025,0.39640334967674795,tetha,003,02,Pz
82,5.3387017641409775,0.22376037088791428,alpha,003,02,Pz
83,3.5090104150535577,0.15825730436141047,beta,003,02,Pz
84,2.6253492838615706,0.2526172966189034,gama,003,02,Pz
85,53.309315407618946,0.20047577523449014,delta,003,02,Oz
86,37.6673207391468,0.1894191784530247,tetha,003,02,Oz
87,23.00998907438828,0.12416630052314348,alpha,003,02,Oz
88,20.54904795667461,0.11693398344096567,beta,003,02,Oz
89,55.962186639044816,0.43373237664091496,gama,003,02,Oz
90,133434931.09259392,0.25861254487342306,delta,003,02,X
91,75682913.55751695,0.36587373724056194,tetha,003,02,X
92,28098015.09966992,0.17053295549919684,alpha,003,02,X
93,20287560.646667056,0.16556098399409178,beta,003,02,X
94,8899549.804623395,0.1792232502559946,gama,003,02,X
95,179252701.20772558,0.29544956055463734,delta,003,02,Y
96,61012637.98039466,0.35210697300031435,tetha,003,02,Y
97,23531055.516163696,0.1705404672680963,alpha,003,02,Y
98,13235010.76550103,0.13131207572144032,beta,003,02,Y
99,8709304.008696727,0.2237807434677819,gama,003,02,Y
100,189503345.89193344,0.3231423574393385,delta,003,02,Z
101,88634504.82900134,0.343238759153454,tetha,003,02,Z
102,31488118.215614863,0.1618056148115008,alpha,003,02,Z
103,17214881.870447278,0.13033975511424162,beta,003,02,Z
104,6282961.820030637,0.1397656781148045,gama,003,02,Z
105,15.390140899080032,0.26416692961738863,delta,056,01,Cz
106,2.4372921116322916,0.16970998871934856,tetha,056,01,Cz
107,1.3090517573675189,0.1282993291704595,alpha,056,01,Cz
108,1.7464790959356564,0.2211657817754125,beta,056,01,Cz
109,1.2943664892416284,0.26271307268227534,gama,056,01,Cz
110,217.6914866950007,0.6469769174116295,delta,056,01,Fz
111,37.67109380438683,0.20894264007949528,tetha,056,01,Fz
112,12.117741643614533,0.11304903807842735,alpha,056,01,Fz
113,7.712028545378654,0.12463891530831235,beta,056,01,Fz
114,3.0969053676378597,0.14689353046057435,gama,056,01,Fz
115,6.0014662171317426,0.3934201253414256,delta,056,01,Pz
116,1.3392643598562803,0.1621512053204158,tetha,056,01,Pz
117,0.9291082357821954,0.14477967447467427,alpha,056,01,Pz
118,1.4647111754669424,0.2729892441089709,beta,056,01,Pz
119,0.81988314355943,0.22398862310434975,gama,056,01,Pz
120,41.65832162688561,0.39134071342513677,delta,056,01,Oz
121,9.204792285090178,0.17425800893536755,tetha,056,01,Oz
122,5.871618642149102,0.144905535918597,alpha,056,01,Oz
123,8.914487959981152,0.26639093497721883,beta,056,01,Oz
124,4.950108473302912,0.22419159905785344,gama,056,01,Oz
125,1906754656.3807046,0.5172178321787412,delta,056,01,X
126,162676210.705669,0.15411765395942723,tetha,056,01,X
127,69592917.23978217,0.12261895954789055,alpha,056,01,X
128,70719325.59907681,0.18508812384084625,beta,056,01,X
129,43983874.67710643,0.2422540475519184,gama,056,01,X
130,1871863285.7519236,0.3393996690890531,delta,056,01,Y
131,347186787.6960903,0.19929388397919054,tetha,056,01,Y
132,179092488.27789396,0.14825627329161914,alpha,056,01,Y
133,200444710.6748625,0.23129077009880492,beta,056,01,Y
134,90567345.91142645,0.1997261470084804,gama,056,01,Y
135,1171647118.2493193,0.33935941132073444,delta,056,01,Z
