onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
479.4580000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
480.2580000000	n/a	n/a	Trn No Response	n/a	n/a	S105
482.3600000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
483.1600000000	n/a	n/a	Trn No Response	n/a	n/a	S105
485.2620000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
485.9500000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
486.0140000000	n/a	n/a	FB: +1	n/a	n/a	S  8
488.0980000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
488.7280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
488.7980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
490.8840000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
491.6840000000	n/a	n/a	Trn No Response	n/a	n/a	S105
493.7860000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
494.3240000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
494.3860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
496.4720000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
497.2720000000	n/a	n/a	Trn No Response	n/a	n/a	S105
499.3740000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
499.9040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
499.9740000000	n/a	n/a	FB: 0	n/a	n/a	S  9
502.0580000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
502.8160000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
502.8760000000	n/a	n/a	FB: +1	n/a	n/a	S  8
504.9620000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
505.5840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
505.6440000000	n/a	n/a	FB: 0	n/a	n/a	S  9
507.7300000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
508.3080000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
508.3800000000	n/a	n/a	FB: +1	n/a	n/a	S  8
510.4660000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
511.2660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
513.3680000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
513.8440000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
515.9520000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
516.3600000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
518.4720000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
518.9840000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
521.0900000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
521.6840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
521.7580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
523.8420000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
524.2520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
524.3100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
526.3940000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
527.1240000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
527.1940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
529.2800000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
530.0800000000	n/a	n/a	Trn No Response	n/a	n/a	S105
532.1820000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
532.5560000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
532.6160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
534.7000000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
535.3520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
535.4180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
537.5020000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
538.2160000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
538.2860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
540.3720000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
540.8880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
540.9560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
543.0400000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
543.8400000000	n/a	n/a	Trn No Response	n/a	n/a	S105
545.9420000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
546.5040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
546.5760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
548.6620000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
549.3800000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
551.4800000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
551.9680000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
552.0300000000	n/a	n/a	FB: +1	n/a	n/a	S  8
554.1160000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
554.4960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
554.5660000000	n/a	n/a	FB: +1	n/a	n/a	S  8
556.6500000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
557.2320000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
557.3020000000	n/a	n/a	FB: +1	n/a	n/a	S  8
559.3860000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
560.0200000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
560.0860000000	n/a	n/a	FB: +1	n/a	n/a	S  8
562.1720000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
562.7480000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
