onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
408.8500000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
409.3480000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
409.4160000000	n/a	n/a	FB: 0	n/a	n/a	S  9
411.5020000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
412.0960000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
412.1520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
414.2380000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
415.0380000000	n/a	n/a	Trn No Response	n/a	n/a	S105
417.1400000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
417.6580000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
417.7240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
419.8080000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
420.2580000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
422.3600000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
423.0140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
423.0780000000	n/a	n/a	FB: +1	n/a	n/a	S  8
425.1620000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
425.8740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
425.9460000000	n/a	n/a	FB: +1	n/a	n/a	S  8
428.0320000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
428.8320000000	n/a	n/a	Trn No Response	n/a	n/a	S105
430.9340000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
431.5740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
431.6340000000	n/a	n/a	FB: +1	n/a	n/a	S  8
433.7180000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
434.3500000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
436.4540000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
437.2540000000	n/a	n/a	Trn No Response	n/a	n/a	S105
439.3560000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
440.0860000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
440.1580000000	n/a	n/a	FB: +1	n/a	n/a	S  8
442.2420000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
442.8020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
442.8760000000	n/a	n/a	FB: 0	n/a	n/a	S  9
444.9600000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
445.7620000000	n/a	n/a	Trn No Response	n/a	n/a	S105
447.8640000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
448.5180000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
448.5800000000	n/a	n/a	FB: 0	n/a	n/a	S  9
450.6660000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
451.4660000000	n/a	n/a	Trn No Response	n/a	n/a	S105
453.5680000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
454.3680000000	n/a	n/a	Trn No Response	n/a	n/a	S105
456.4700000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
457.1140000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
457.1860000000	n/a	n/a	FB: 0	n/a	n/a	S  9
459.2720000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
460.0660000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
460.1400000000	n/a	n/a	FB: +1	n/a	n/a	S  8
462.2240000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
462.8980000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
462.9580000000	n/a	n/a	FB: 0	n/a	n/a	S  9
465.0420000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
465.8420000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
465.9100000000	n/a	n/a	FB: +1	n/a	n/a	S  8
467.9960000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
468.7740000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
468.8460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
470.9300000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
471.4700000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
471.5320000000	n/a	n/a	FB: 0	n/a	n/a	S  9
473.6160000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
474.1620000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
474.2340000000	n/a	n/a	FB: 0	n/a	n/a	S  9
476.3180000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
477.0780000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
477.1520000000	n/a	n/a	FB: 0	n/a	n/a	S  9
