,count,mean,std,min,25%,50%,75%,max
time,885475.0,885474.0,511229.51828573697,0.0,442737.0,885474.0,1328211.0,1770948.0
Fp1,885475.0,-13964.13262561893,594.2860401846854,-14965.52734375,-14573.046874999998,-14013.330078124998,-13375.341796874998,-12736.328125
Fz,885475.0,1901.1065854595167,231.99696262910842,1112.060546875,1721.923828125,1802.9296874999998,2121.728515625,2539.16015625
F3,885475.0,-18515.582120692638,496.25964777529487,-20049.51171875,-18970.60546875,-18627.9296875,-18043.06640625,-17413.232421875
F7,885475.0,-16645.455964721,367.70572219071454,-17537.548828125,-16919.23828125,-16796.533203125,-16285.302734375,-15358.837890625
FT9,885475.0,-421386.02785440016,179.5785565410124,-422452.53125,-421522.40625,-421400.71874999994,-421269.1875,-418149.5
FC5,885475.0,4269.142097880905,118.8003237337285,3171.3378906249995,4181.0546875,4247.021484374999,4358.3984375,4637.158203125
FC1,885475.0,4969.126242381384,97.41425285881098,3854.1015624999995,4914.355468749999,4964.2578125,5019.921875,5217.48046875
C3,885475.0,-2163.0965986542355,234.24819843352975,-3225.830078125,-2349.8046874999995,-2257.177734375,-1906.73828125,-1537.79296875
T7,885475.0,-12614.667099413891,514.4017910203053,-14489.84375,-13098.388671874998,-12593.749999999998,-12159.130859374998,-11425.146484374998
TP9,885475.0,1641.769470261371,1057.8331843293593,-444.82421874999994,699.0234375,1719.677734375,2643.84765625,3174.609375
CP5,885475.0,-2424.333199022329,397.2363652524822,-3870.1171874999995,-2759.3749999999995,-2465.4296875,-2050.09765625,-1690.234375
CP1,885475.0,2905.627489119099,133.61326467204248,1625.4882812499998,2868.896484375,2913.720703125,2961.669921875,3225.244140625
Pz,885475.0,-7399.112907598146,1124.013147341119,-8995.556640625,-8322.021484374998,-7743.212890624999,-6367.529296875,-4957.128906249999
P3,885475.0,749.0037609470729,504.42364644779013,-190.42968749999997,271.58203125,745.5078125,1285.498046875,1518.017578125
P7,885475.0,5372.031744305669,595.094225640764,4261.23046875,4834.716796875,5253.80859375,5981.982421875,6429.833984374999
O1,885475.0,-4132.529085289675,937.6955456183565,-6158.69140625,-4851.416015624999,-4041.748046875,-3246.09375,-2753.564453125
Oz,885475.0,-2560.039712806421,810.0284993706966,-3562.79296875,-3125.439453125,-3031.5917968749995,-2105.859375,-336.767578125
O2,885475.0,6061.953599012889,137.97293819782112,5065.234375,5965.91796875,6005.029296875,6192.675781249999,6459.179687499999
P4,885475.0,2440.057779502174,315.52964144848426,1458.0078124999998,2177.9296875,2449.658203125,2737.98828125,2934.86328125
P8,885475.0,-4790.010039026105,925.3325370213248,-6178.076171875,-5495.166015625,-5043.896484375,-3987.060546875,-1476.3671875
TP10,885475.0,-17532.970304768893,2663.6580819901815,-22112.5,-19727.587890625,-18528.759765625,-14704.833984374998,-12404.003906249998
CP6,885475.0,1555.3881541885182,189.44917430649275,355.859375,1431.201171875,1506.4941406249998,1720.9472656249998,1934.326171875
CP2,885475.0,5462.054252804374,141.01803307060052,4102.83203125,5423.53515625,5470.166015625,5528.808593749999,5833.7890625
Cz,885475.0,2010.3415668166274,391.97207417599054,161.9140625,1754.4433593749998,1989.8437499999998,2326.953125,2764.2089843749995
C4,885475.0,-4682.472353181732,497.6421442063042,-5565.771484375,-5076.3671875,-4903.41796875,-4203.564453125,-3695.849609375
T8,885475.0,1514.1556736409132,179.15759745298666,604.736328125,1386.2792968749998,1443.359375,1666.455078125,1981.1035156249998
FT10,885475.0,-4288.717481535776,1100.5104432889505,-5416.89453125,-5007.177734375,-4773.095703125,-4008.4472656249995,-1260.5957031249998
FC6,885475.0,-16775.318272027813,413.0793425921553,-17742.48046875,-17052.34375,-16950.341796875,-16370.019531249998,-15767.822265624998
FC2,885475.0,-9092.730229648105,620.2541250989009,-10159.765625,-9613.525390624998,-9315.13671875,-8429.931640625,-7789.697265624999
F4,885475.0,-6249.313007429804,711.1122543333363,-8745.3125,-6587.6953125,-5866.308593749999,-5702.783203125,-5350.5859375
F8,885475.0,-467.56895222197124,219.34654101760898,-1391.064453125,-627.6367187499999,-525.9765625,-271.04492187499994,75.87890624999999
Fp2,885475.0,-23887.317530845026,1396.1331991244513,-27185.986328125,-25146.97265625,-23867.187499999996,-22715.576171874996,-21297.802734375
AF7,885475.0,-17342.03094081081,161.35158623768493,-18370.751953125,-17475.390625,-17352.34375,-17235.7421875,-16735.205078125
AF3,885475.0,-18379.579589333673,787.821852439642,-20660.644531249996,-19004.19921875,-18402.9296875,-17646.484375,-16760.009765625
AFz,885475.0,1299.6468072397583,155.094097923189,168.45703125,1182.373046875,1298.8281249999998,1439.3066406249998,1825.146484375
F1,885475.0,-2868.6148140166647,287.2099412890548,-3558.5937499999995,-3108.30078125,-2853.662109375,-2653.564453125,-2116.162109375
F5,885475.0,-2767.470031864077,411.2896761812646,-3529.1992187499995,-3049.21875,-2913.37890625,-2408.7890624999995,-1663.720703125
FT7,885475.0,5037.2332351853875,444.8149578090511,4173.828125,4661.5234375,4961.474609375,5482.8125,5922.75390625
FC3,885475.0,5733.9969093212685,139.06504168601845,4400.87890625,5676.025390625,5732.470703125,5834.277343749999,6051.269531249999
FCz,885475.0,2299.6387606559156,180.5630199721113,838.134765625,2245.703125,2302.83203125,2427.978515625,2670.166015625
C1,885475.0,-5690.427426840114,1620.6184539594915,-9678.857421875,-7088.0615234375,-5479.443359375,-4268.1640625,-3320.2148437499995
C5,885475.0,-3303.7721585585246,278.0344567546632,-3904.3457031249995,-3459.912109375,-3318.7011718749995,-3168.2128906249995,-2405.46875
